machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,fullscan,16,branchfree,0.50000,0,67108864,134217728,7611000.0,17.635,8.817,0.00,70.14,94.48,0.2514,33554432,33554432
M4,arm64,zonemap,16,branchfree,0.50000,0,67108864,134217728,34734000.0,3.864,1.932,0.00,70.14,94.48,0.0551,33554432,33554432
M4,arm64,fullscan,16,branchfree,0.10000,0,67108864,134217728,7446000.0,18.025,9.013,0.00,70.14,94.48,0.2570,6710886,6710886
M4,arm64,zonemap,16,branchfree,0.10000,0,67108864,134217728,34601000.0,3.879,1.940,0.00,70.14,94.48,0.0553,6710886,6710886
M4,arm64,fullscan,16,branchfree,0.01000,0,67108864,134217728,7581000.0,17.704,8.852,0.00,70.14,94.48,0.2524,671089,671089
M4,arm64,zonemap,16,branchfree,0.01000,0,67108864,134217728,34675000.0,3.871,1.935,0.00,70.14,94.48,0.0552,671089,671089
M4,arm64,fullscan,16,branchfree,0.00100,0,67108864,134217728,7409000.0,18.115,9.058,0.00,70.14,94.48,0.2583,67109,67109
M4,arm64,zonemap,16,branchfree,0.00100,0,67108864,134201344,34942000.0,3.841,1.921,0.00,70.14,94.48,0.0548,67109,67109
M4,arm64,fullscan,16,branchfree,0.00010,0,67108864,134217728,7477000.0,17.951,8.975,0.00,70.14,94.48,0.2559,6711,6711
M4,arm64,zonemap,16,branchfree,0.00010,0,67108864,81985536,21238000.0,3.860,3.160,0.00,70.14,94.48,0.0550,6711,6711
M4,arm64,fullscan,16,branchfree,0.50000,1,67108864,134217728,7395000.0,18.150,9.075,0.00,70.14,94.48,0.2588,1024,1024
M4,arm64,zonemap,16,branchfree,0.50000,1,67108864,16384,6000.0,2.731,11184.811,0.00,70.14,94.48,0.0389,1024,1024
M4,arm64,fullscan,16,branchfree,0.10000,1,67108864,134217728,7424000.0,18.079,9.039,0.00,70.14,94.48,0.2578,1024,1024
M4,arm64,zonemap,16,branchfree,0.10000,1,67108864,16384,7000.0,2.341,9586.981,0.00,70.14,94.48,0.0334,1024,1024
M4,arm64,fullscan,16,branchfree,0.01000,1,67108864,134217728,7456000.0,18.001,9.001,0.00,70.14,94.48,0.2567,1024,1024
M4,arm64,zonemap,16,branchfree,0.01000,1,67108864,16384,6000.0,2.731,11184.811,0.00,70.14,94.48,0.0389,1024,1024
M4,arm64,fullscan,16,branchfree,0.00100,1,67108864,134217728,7448000.0,18.021,9.010,0.00,70.14,94.48,0.2569,1024,1024
M4,arm64,zonemap,16,branchfree,0.00100,1,67108864,16384,6000.0,2.731,11184.811,0.00,70.14,94.48,0.0389,1024,1024
M4,arm64,fullscan,16,branchfree,0.00010,1,67108864,134217728,7469000.0,17.970,8.985,0.00,70.14,94.48,0.2562,1024,1024
M4,arm64,zonemap,16,branchfree,0.00010,1,67108864,16384,7000.0,2.341,9586.981,0.00,70.14,94.48,0.0334,1024,1024
